datetime,open,high,low,close,volume
2005-01-01T22:00:00.000000000Z,1.9193,1.9202,1.9185,1.9194,178
2005-01-02T22:00:00.000000000Z,1.9192,1.92035,1.8982,1.90445,26247
2005-01-03T22:00:00.000000000Z,1.90445,1.90845,1.8781,1.8829,35009
2005-01-04T22:00:00.000000000Z,1.8825,1.8898,1.8731,1.8827,36755
2005-01-05T22:00:00.000000000Z,1.8829,1.8856,1.8699,1.8753,33835
2005-01-06T22:00:00.000000000Z,1.8753,1.8865,1.8647,1.8711,34945
2005-01-08T22:00:00.000000000Z,1.87,1.872,1.8697,1.871,161
2005-01-09T22:00:00.000000000Z,1.8708,1.8794,1.8692,1.8754,31391
2005-01-10T22:00:00.000000000Z,1.8752,1.8823,1.8751,1.8779,32718
2005-01-11T22:00:00.000000000Z,1.8779,1.8939,1.8698,1.8907,33019
2005-01-12T22:00:00.000000000Z,1.8909,1.8931,1.8794,1.8825,35477
2005-01-13T22:00:00.000000000Z,1.8824,1.8827,1.8642,1.8706,34744
2005-01-15T22:00:00.000000000Z,1.8696,1.8705,1.8693,1.8698,127
2005-01-16T22:00:00.000000000Z,1.8699,1.875,1.8586,1.8596,21391
2005-01-17T22:00:00.000000000Z,1.8596,1.8739,1.8526,1.8663,34798
2005-01-18T22:00:00.000000000Z,1.8663,1.8827,1.8627,1.8711,41536
2005-01-19T22:00:00.000000000Z,1.871,1.87535,1.8636,1.872,36865
2005-01-20T22:00:00.000000000Z,1.8719,1.8808,1.8615,1.8772,34069
2005-01-21T22:00:00.000000000Z,1.8771,1.8771,1.8769,1.877,8
2005-01-22T22:00:00.000000000Z,1.8783,1.8788,1.878,1.8786,49
2005-01-23T22:00:00.000000000Z,1.8786,1.8838,1.87425,1.8809,30664
2005-01-24T22:00:00.000000000Z,1.8809,1.8812,1.8626,1.8642,33195
2005-01-25T22:00:00.000000000Z,1.8642,1.8855,1.8635,1.8824,33618
2005-01-26T22:00:00.000000000Z,1.8824,1.8903,1.8794,1.88975,39626
2005-01-27T22:00:00.000000000Z,1.88965,1.89285,1.8785,1.888,36318
2005-01-28T22:00:00.000000000Z,1.8879,1.888,1.8879,1.888,4
2005-01-29T22:00:00.000000000Z,1.8873,1.8879,1.8869,1.8872,186
2005-01-30T22:00:00.000000000Z,1.8873,1.8884,1.8789,1.8829,31775
2005-01-31T22:00:00.000000000Z,1.8829,1.8867,1.8777,1.884,30622
2005-02-01T22:00:00.000000000Z,1.884,1.8888,1.8824,1.886,30568
2005-02-02T22:00:00.000000000Z,1.8861,1.8915,1.8769,1.882,34998
2005-02-03T22:00:00.000000000Z,1.8821,1.892,1.8732,1.8759,31257
2005-02-04T22:00:00.000000000Z,1.8758,1.876,1.873,1.873,96
2005-02-05T22:00:00.000000000Z,1.876,1.876,1.8734,1.8739,117
2005-02-06T22:00:00.000000000Z,1.8739,1.8754,1.855,1.8575,32577
2005-02-07T22:00:00.000000000Z,1.8575,1.8599,1.8512,1.8548,31564
2005-02-08T22:00:00.000000000Z,1.8548,1.8645,1.8525,1.8582,32295
2005-02-09T22:00:00.000000000Z,1.8582,1.8732,1.851,1.8686,30330
2005-02-10T22:00:00.000000000Z,1.8686,1.8709,1.8626,1.8686,25763
2005-02-11T22:00:00.000000000Z,1.8686,1.8686,1.8686,1.8686,1
2005-02-12T22:00:00.000000000Z,1.8683,1.8696,1.8678,1.8692,74
2005-02-13T22:00:00.000000000Z,1.8695,1.8918,1.8678,1.8878,30773
2005-02-14T22:00:00.000000000Z,1.8877,1.8976,1.8833,1.8971,33532
2005-02-15T22:00:00.000000000Z,1.8971,1.8971,1.8755,1.8853,34577
2005-02-16T22:00:00.000000000Z,1.8853,1.8958,1.88355,1.8953,32935
2005-02-17T22:00:00.000000000Z,1.8952,1.89725,1.8891,1.8943,26907
2005-02-19T22:00:00.000000000Z,1.8947,1.8955,1.8928,1.8932,231
2005-02-20T22:00:00.000000000Z,1.8932,1.8998,1.8908,1.8972,19375
2005-02-21T22:00:00.000000000Z,1.8972,1.9137,1.8955,1.9117,34475
2005-02-22T22:00:00.000000000Z,1.9117,1.9132,1.9043,1.9086,33871
2005-02-23T22:00:00.000000000Z,1.9087,1.914,1.9014,1.9096,35861
2005-02-24T22:00:00.000000000Z,1.9096,1.9197,1.9064,1.9195,32820
2005-02-26T22:00:00.000000000Z,1.9188,1.9192,1.918,1.9181,33
2005-02-27T22:00:00.000000000Z,1.9181,1.926,1.9163,1.9211,30317
2005-02-28T22:00:00.000000000Z,1.9211,1.9228,1.9174,1.9211,30672
2005-03-01T22:00:00.000000000Z,1.9211,1.9215,1.908,1.9139,32820
2005-03-02T22:00:00.000000000Z,1.9138,1.914,1.9058,1.9068,29908
2005-03-03T22:00:00.000000000Z,1.9068,1.9273,1.90495,1.9228,28084
2005-03-05T22:00:00.000000000Z,1.9227,1.9237,1.9225,1.9237,109
2005-03-06T22:00:00.000000000Z,1.9237,1.9251,1.9116,1.9144,28519
2005-03-07T22:00:00.000000000Z,1.9145,1.9326,1.9131,1.9292,31901
2005-03-08T22:00:00.000000000Z,1.9292,1.932,1.9201,1.9254,32260
2005-03-09T22:00:00.000000000Z,1.9252,1.9306,1.9207,1.9226,34352
2005-03-10T22:00:00.000000000Z,1.9226,1.92925,1.9165,1.9258,29674
2005-03-11T22:00:00.000000000Z,1.9259,1.9259,1.9259,1.9259,1
2005-03-12T22:00:00.000000000Z,1.9257,1.9267,1.9243,1.9258,123
2005-03-13T22:00:00.000000000Z,1.9259,1.9278,1.9101,1.9137,29700
2005-03-14T22:00:00.000000000Z,1.9137,1.92565,1.9112,1.91305,31637
2005-03-15T22:00:00.000000000Z,1.91305,1.9295,1.91125,1.9261,30499
2005-03-16T22:00:00.000000000Z,1.9262,1.9285,1.9185,1.9253,31327
2005-03-17T22:00:00.000000000Z,1.9253,1.9256,1.9124,1.9219,28403
2005-03-19T22:00:00.000000000Z,1.9222,1.9222,1.92,1.9203,250
2005-03-20T22:00:00.000000000Z,1.9202,1.9203,1.8947,1.8965,32236
2005-03-21T22:00:00.000000000Z,1.8965,1.9022,1.88,1.8862,32530
2005-03-22T22:00:00.000000000Z,1.8862,1.8886,1.8663,1.8692,35815
2005-03-23T22:00:00.000000000Z,1.8693,1.8742,1.8671,1.8689,29516
2005-03-24T22:00:00.000000000Z,1.8688,1.8723,1.8677,1.8704,7758
2005-03-27T22:00:00.000000000Z,1.8706,1.8706,1.8595,1.8668,11478
2005-03-28T22:00:00.000000000Z,1.8668,1.8766,1.8651,1.874,32144
2005-03-29T22:00:00.000000000Z,1.874,1.8849,1.874,1.8784,33225
2005-03-30T22:00:00.000000000Z,1.8784,1.8918,1.8754,1.8904,34644
2005-03-31T22:00:00.000000000Z,1.8904,1.89785,1.8762,1.8822,31973
2005-04-02T22:00:00.000000000Z,1.8814,1.8821,1.8805,1.8806,79
2005-04-03T21:00:00.000000000Z,1.8807,1.8808,1.871,1.8755,29393
2005-04-04T21:00:00.000000000Z,1.8754,1.8818,1.872,1.8813,29874
2005-04-05T21:00:00.000000000Z,1.8813,1.8849,1.8744,1.8808,31671
2005-04-06T21:00:00.000000000Z,1.8809,1.886,1.8683,1.86985,34300
2005-04-07T21:00:00.000000000Z,1.86985,1.8858,1.8673,1.8856,30573
2005-04-08T21:00:00.000000000Z,1.8856,1.8856,1.8856,1.8856,1
2005-04-09T21:00:00.000000000Z,1.8847,1.8855,1.8821,1.885,180
